race_id,race_name,course,date,type,class,pattern,aver_or,total_prize
rac_11236407,Bobby Roberts Memorial Novices' Hurdle (GBB Race) (Div I),Hexham,2024-05-04,Hurdle,Class 4,,27.083333333333332,8853.3
rac_11236394,Langley Castle An Outstanding Small Hotel. Handicap Hurdle,Hexham,2024-05-04,Hurdle,Class 5,,92.8125,8853.3
rac_11236355,Hexham Racecourse Caravan & Camping Park Handicap Hurdle,Hexham,2024-05-04,Hurdle,Class 3,,113.3,14411.2
rac_11275888,Palmerstown House Estate Pat Taaffe Handicap Chase (),Punchestown (IRE),2024-05-04,Chase,,Listed,131.33333333333334,0.0
rac_11275875,Colm Quinn BMW Handicap Chase,Punchestown (IRE),2024-05-04,Chase,,,122.52380952380952,0.0
rac_11275862,Donohue Marquees Cross Country Chase,Punchestown (IRE),2024-05-04,Chase,,,62.09090909090909,0.0
rac_11275914,"33rd Running Of The ""Have The Conversation - Say Yes To Organ Donation"" Punchestown Charity Race",Punchestown (IRE),2024-05-04,Flat,,,29.454545454545453,0.0
rac_11263473,SBK Gold Trophy Handicap Hurdle (),Punchestown (IRE),2024-05-04,Hurdle,,Listed,132.43478260869566,0.0
rac_11258026,Ballymore Champion Four Year Old Hurdle,Punchestown (IRE),2024-05-04,Hurdle,,Grade 1,121.0,0.0
rac_11258013,Coolmore N.H. Sires Bolshoi Ballet Irish EBF Mares Champion Hurdle,Punchestown (IRE),2024-05-04,Hurdle,,Grade 1,144.6,0.0
rac_11275901,Lawlor's Of Naas (Pro/Am) INH Flat Race,Punchestown (IRE),2024-05-04,NH Flat,,,0.0,0.0
rac_11239683,Kingsclere Amateur Jockeys' Handicap,Salisbury,2024-05-05,Flat,Class 6,,56.07692307692308,7218.75
rac_11239670,Kingsclere Past Present And Future Handicap,Salisbury,2024-05-05,Flat,Class 6,,60.0,7377.75
rac_11239657,Kingsclere Long-Serving Staff Handicap,Salisbury,2024-05-05,Flat,Class 5,,69.8,8607.369999999999
rac_11239644,Kingsclere Racing Club Handicap,Salisbury,2024-05-05,Flat,Class 5,,73.6,8607.369999999999
rac_11239631,Side Glance Novice Stakes (GBB Race),Salisbury,2024-05-05,Flat,Class 4,,0.0,8853.3
rac_11239618,Kingsclere Owners British EBF 'Confined' Maiden Stakes (Horses Not Run More Than Twice) (GBB Race),Salisbury,2024-05-05,Flat,Class 4,,0.0,8853.3
rac_11239605,Kingsclere Stud Fillies' Conditions Stakes (GBB Race),Salisbury,2024-05-05,Flat,Class 3,,0.0,17214.75
rac_11239592,Dreammaker Foundation Making Dreams Happen Handicap,Hamilton,2024-05-05,Flat,Class 6,,57.125,6885.900000000001
rac_11239579,Racing TV Handicap,Hamilton,2024-05-05,Flat,Class 6,,55.857142857142854,6885.900000000001
rac_11239566,Les Hoey MBE Dreammaker Foundation 10th Anniversary Handicap,Hamilton,2024-05-05,Flat,Class 5,,65.16666666666667,7377.75
rac_11239553,Hampton By Hilton Onsite Hotel Handicap,Hamilton,2024-05-05,Flat,Class 5,,69.57142857142857,7377.75
rac_11239540,Hampton By Hilton At Hamilton Park Handicap,Hamilton,2024-05-05,Flat,Class 5,,66.25,7377.75
